transaction_id,date,time,branch_id,branch_city,customer_id,customer_name,account_number,account_type,transaction_mode,channel,location,status
T412719,2025-04-28,17:29,BAN05,Bangalore,9211,Grace,A77509146,Current,Offline,UPI,OnlinePortal,Failed
T513772,2025-04-28,22:45,BAN05,Bangalore,9784,David,A11617679,Savings,Online,NEFT,ATM Booth,Success
T338457,2025-04-28,22:11,BAN05,Bangalore,5642,Alice,A87732664,Savings,Online,IMPS,Kiosk,Success
T846520,2025-04-28,23:31,BAN05,Bangalore,4970,David,A84778475,Savings,Online,IMPS,Branch,Failed
T397370,2025-04-28,14:30,BAN05,Bangalore,5737,Helen,A28368960,Savings,Online,NetBanking,MobileApp,Failed
T818863,2025-04-28,20:55,BAN05,Bangalore,7749,Grace,A45269383,Savings,Online,NEFT,Branch,Success
T128670,2025-04-28,11:17,BAN05,Bangalore,9103,Eva,A76012484,Savings,Offline,NetBanking,OnlinePortal,Success
T431783,2025-04-28,21:10,BAN05,Bangalore,8781,Eva,A32685183,Savings,Offline,UPI,Branch,Success
T757734,2025-04-28,12:07,BAN05,Bangalore,7169,Frank,A44836256,Savings,Online,NetBanking,OnlinePortal,Success
T740748,2025-04-28,00:00,BAN05,Bangalore,7333,Frank,A26298328,Current,Online,ATM,ATM Booth,Success
T501088,2025-04-29,21:28,BAN05,Bangalore,8721,John,A41804849,Savings,Offline,NEFT,Branch,Success
T391641,2025-04-29,05:15,BAN05,Bangalore,2986,David,A96626301,Current,Offline,ATM,Kiosk,Failed
T868852,2025-04-29,02:04,BAN05,Bangalore,2535,Charlie,A40696928,Savings,Online,NEFT,ATM Booth,Success
T994378,2025-04-29,19:02,BAN05,Bangalore,6249,David,A94187259,Savings,Offline,NetBanking,MobileApp,Failed
T908289,2025-04-29,17:06,BAN05,Bangalore,6376,Bob,A99025463,Savings,Offline,NEFT,Kiosk,Failed
T166752,2025-04-29,21:14,BAN05,Bangalore,8287,David,A59982545,Current,Online,NEFT,Branch,Failed
T347660,2025-04-29,01:11,BAN05,Bangalore,5820,John,A62061523,Savings,Online,NetBanking,OnlinePortal,Failed
T915422,2025-04-29,04:09,BAN05,Bangalore,5287,Eva,A56213264,Savings,Offline,UPI,OnlinePortal,Success
T520329,2025-04-29,09:38,BAN05,Bangalore,7072,Bob,A82795624,Savings,Offline,UPI,OnlinePortal,Failed
T257214,2025-04-29,21:54,BAN05,Bangalore,8326,Grace,A32253610,Savings,Online,IMPS,Branch,Failed
T342746,2025-04-30,16:29,BAN05,Bangalore,4926,Charlie,A57594369,Current,Online,IMPS,Branch,Failed
T893691,2025-04-30,23:06,BAN05,Bangalore,4364,John,A55069834,Savings,Offline,NetBanking,Branch,Success
T363164,2025-04-30,05:56,BAN05,Bangalore,2710,David,A46285002,Current,Online,UPI,ATM Booth,Success
