transaction_id,date,time,branch_id,branch_city,customer_id,customer_name,account_number,account_type,transaction_mode,channel,location,status
T860469,2025-04-28,13:33,DEL03,Delhi,4615,Bob,A21188969,Savings,Offline,ATM,MobileApp,Failed
T318287,2025-04-28,00:04,DEL03,Delhi,8535,Grace,A95259529,Current,Online,NetBanking,Branch,Failed
T228157,2025-04-28,16:34,DEL03,Delhi,7785,Charlie,A23233763,Savings,Offline,ATM,MobileApp,Failed
T832398,2025-04-28,02:21,DEL03,Delhi,8335,Ivy,A58369709,Savings,Online,UPI,ATM Booth,Success
T318418,2025-04-28,18:03,DEL03,Delhi,4847,Alice,A77387938,Savings,Offline,ATM,OnlinePortal,Failed
T436296,2025-04-28,20:11,DEL03,Delhi,6252,Eva,A53700559,Current,Online,IMPS,ATM Booth,Failed
T404299,2025-04-28,05:16,DEL03,Delhi,2523,Grace,A13976915,Current,Online,IMPS,Branch,Success
T913323,2025-04-28,16:27,DEL03,Delhi,7668,Helen,A41466699,Savings,Offline,NEFT,Kiosk,Failed
T985458,2025-04-28,10:25,DEL03,Delhi,3369,Grace,A27563572,Savings,Offline,NEFT,Kiosk,Success
T393595,2025-04-28,13:38,DEL03,Delhi,4612,Ivy,A31980888,Savings,Online,UPI,MobileApp,Success
T103719,2025-04-29,22:53,DEL03,Delhi,2325,Grace,A22033634,Current,Online,NetBanking,ATM Booth,Success
T682254,2025-04-29,17:03,DEL03,Delhi,5834,Bob,A81735974,Current,Offline,IMPS,Kiosk,Success
T705839,2025-04-29,23:29,DEL03,Delhi,4214,Alice,A45191043,Savings,Online,NEFT,Branch,Success
T968992,2025-04-29,10:26,DEL03,Delhi,8727,Bob,A63197002,Current,Online,ATM,OnlinePortal,Success
T644217,2025-04-29,19:16,DEL03,Delhi,1602,Helen,A39463049,Current,Offline,IMPS,ATM Booth,Success
T234498,2025-04-29,15:14,DEL03,Delhi,1345,Frank,A62124333,Current,Offline,NetBanking,OnlinePortal,Success
T708780,2025-04-29,22:08,DEL03,Delhi,3802,Eva,A20574773,Savings,Online,UPI,ATM Booth,Failed
T759304,2025-04-29,14:21,DEL03,Delhi,7517,Alice,A37515845,Current,Online,NEFT,ATM Booth,Failed
T166419,2025-04-29,18:46,DEL03,Delhi,4902,Alice,A71610963,Savings,Offline,NetBanking,MobileApp,Success
T281672,2025-04-29,07:59,DEL03,Delhi,5698,Frank,A87235262,Savings,Offline,IMPS,OnlinePortal,Failed
T725462,2025-04-30,09:07,DEL03,Delhi,2037,Ivy,A53820622,Savings,Offline,IMPS,Branch,Failed
T354959,2025-04-30,11:06,DEL03,Delhi,2906,Helen,A84509093,Savings,Online,UPI,MobileApp,Success
T716891,2025-04-30,03:45,DEL03,Delhi,3894,Eva,A82659270,Savings,Online,NEFT,OnlinePortal,Success
T791809,2025-04-30,10:55,DEL03,Delhi,8979,Alice,A58845504,Savings,Offline,UPI,ATM Booth,Failed
T643843,2025-04-30,12:32,DEL03,Delhi,2805,Frank,A86550625,Current,Offline,NetBanking,Kiosk,Failed
T253399,2025-04-30,02:24,DEL03,Delhi,4403,Frank,A29307883,Savings,Online,NetBanking,ATM Booth,Failed
T591661,2025-04-30,06:31,DEL03,Delhi,5747,John,A38596235,Current,Offline,UPI,ATM Booth,Success
T371917,2025-04-30,22:34,DEL03,Delhi,7933,Frank,A35291596,Current,Online,NEFT,Kiosk,Success
T544843,2025-04-30,14:01,DEL03,Delhi,6970,John,A10531696,Savings,Offline,NEFT,ATM Booth,Failed
T181727,2025-04-30,08:29,DEL03,Delhi,8831,Helen,A35690568,Current,Offline,NEFT,Kiosk,Failed
T874025,2025-05-01,01:15,DEL03,Delhi,7536,Frank,A52631100,Current,Offline,NetBanking,OnlinePortal,Failed
T192105,2025-05-01,02:43,DEL03,Delhi,9990,John,A21219900,Savings,Online,NetBanking,ATM Booth,Failed
T647957,2025-05-01,00:23,DEL03,Delhi,8339,John,A90234495,Savings,Offline,NEFT,Branch,Failed
T158567,2025-05-01,13:57,DEL03,Delhi,7489,David,A51813890,Savings,Online,NEFT,Branch,Success
T236538,2025-05-01,15:46,DEL03,Delhi,8045,Grace,A14526840,Savings,Offline,IMPS,ATM Booth,Success
T710164,2025-05-01,19:43,DEL03,Delhi,4373,Frank,A89364103,Current,Offline,NetBanking,OnlinePortal,Failed
T705151,2025-05-01,09:50,DEL03,Delhi,8295,John,A88513748,Savings,Offline,IMPS,ATM Booth,Success
T851474,2025-05-01,08:23,DEL03,Delhi,3978,Charlie,A16127015,Savings,Online,NetBanking,Kiosk,Failed
T623459,2025-05-01,01:32,DEL03,Delhi,7963,Grace,A36712733,Savings,Online,NetBanking,Kiosk,Success
T793806,2025-05-01,10:48,DEL03,Delhi,7342,Charlie,A86881378,Savings,Online,ATM,ATM Booth,Failed
T725947,2025-05-02,07:38,DEL03,Delhi,6658,John,A56263643,Savings,Offline,UPI,OnlinePortal,Failed
T181075,2025-05-02,06:58,DEL03,Delhi,7262,John,A45243098,Current,Online,IMPS,Branch,Success
T824230,2025-05-02,14:43,DEL03,Delhi,2556,John,A15862224,Savings,Offline,NEFT,Kiosk,Failed
T446503,2025-05-02,04:53,DEL03,Delhi,7400,Ivy,A52867554,Savings,Online,ATM,MobileApp,Success
T502744,2025-05-02,09:41,DEL03,Delhi,2355,David,A31239554,Current,Offline,NEFT,ATM Booth,Success
T871011,2025-05-02,00:40,DEL03,Delhi,1341,John,A65744793,Current,Online,NEFT,Branch,Success
