transaction_id,date,time,branch_id,branch_city,customer_id,customer_name,account_number,account_type,transaction_mode,channel,location,status
T553851,2025-04-28,21:23,MUM03,Mumbai,8176,Charlie,A61820431,Current,Offline,NEFT,MobileApp,Success
T243169,2025-04-28,08:07,MUM03,Mumbai,6129,Frank,A89032039,Current,Online,NEFT,OnlinePortal,Success
T120281,2025-04-28,07:10,MUM03,Mumbai,8809,John,A65068734,Savings,Online,IMPS,Branch,Failed
T922709,2025-04-28,05:19,MUM03,Mumbai,1785,Helen,A75937293,Current,Offline,NEFT,Branch,Failed
T135524,2025-04-28,04:28,MUM03,Mumbai,2980,Helen,A36773713,Current,Offline,NEFT,MobileApp,Success
T405506,2025-04-28,07:18,MUM03,Mumbai,8705,Bob,A79475769,Savings,Online,ATM,OnlinePortal,Success
T606704,2025-04-28,23:13,MUM03,Mumbai,6818,Alice,A62250933,Current,Online,UPI,Branch,Success
T773088,2025-04-28,13:53,MUM03,Mumbai,9078,Bob,A86643934,Savings,Offline,UPI,MobileApp,Failed
T484495,2025-04-28,19:30,MUM03,Mumbai,9162,Alice,A84208769,Current,Offline,IMPS,Kiosk,Success
T553069,2025-04-28,20:29,MUM03,Mumbai,8109,Grace,A90725401,Savings,Offline,ATM,ATM Booth,Failed
T931572,2025-04-29,07:24,MUM03,Mumbai,9987,Ivy,A50652235,Current,Offline,NetBanking,Kiosk,Failed
T453120,2025-04-29,01:30,MUM03,Mumbai,9247,Charlie,A97307573,Savings,Offline,ATM,ATM Booth,Success
T226098,2025-04-29,21:54,MUM03,Mumbai,1020,Grace,A46203039,Current,Offline,IMPS,Branch,Failed
T746692,2025-04-29,11:13,MUM03,Mumbai,8981,Helen,A70852209,Savings,Online,ATM,ATM Booth,Failed
T856173,2025-04-29,16:04,MUM03,Mumbai,4661,Bob,A79262130,Current,Offline,IMPS,Branch,Success
T667732,2025-04-29,19:55,MUM03,Mumbai,2567,Bob,A48653995,Savings,Online,IMPS,Kiosk,Success
T403562,2025-04-29,20:35,MUM03,Mumbai,1451,Helen,A14247726,Current,Offline,NEFT,Branch,Failed
T231129,2025-04-29,18:38,MUM03,Mumbai,4279,Frank,A58381400,Savings,Online,ATM,ATM Booth,Success
T409049,2025-04-29,22:29,MUM03,Mumbai,5613,Eva,A24841543,Savings,Offline,ATM,Kiosk,Failed
T292560,2025-04-29,11:43,MUM03,Mumbai,4875,Helen,A76961889,Current,Online,ATM,ATM Booth,Failed
T162793,2025-04-30,17:57,MUM03,Mumbai,1120,David,A11227615,Savings,Offline,IMPS,Kiosk,Failed
T583138,2025-04-30,17:56,MUM03,Mumbai,2052,Ivy,A36583568,Current,Offline,NEFT,OnlinePortal,Success
T340280,2025-04-30,12:35,MUM03,Mumbai,7908,Frank,A16079454,Savings,Online,UPI,MobileApp,Failed
T699530,2025-04-30,00:24,MUM03,Mumbai,9774,Alice,A34018562,Current,Online,NetBanking,ATM Booth,Success
T311881,2025-04-30,01:31,MUM03,Mumbai,7630,Bob,A23189093,Savings,Offline,NEFT,MobileApp,Success
T302202,2025-04-30,14:10,MUM03,Mumbai,4545,John,A55220167,Current,Offline,UPI,Kiosk,Failed
T160598,2025-04-30,16:57,MUM03,Mumbai,2282,Frank,A95410915,Current,Online,NEFT,ATM Booth,Success
T837977,2025-04-30,18:51,MUM03,Mumbai,6891,Alice,A99692355,Savings,Online,NetBanking,ATM Booth,Failed
T523329,2025-04-30,19:34,MUM03,Mumbai,7926,Grace,A67989864,Current,Online,ATM,ATM Booth,Failed
T875454,2025-04-30,12:32,MUM03,Mumbai,8614,Bob,A69408524,Current,Online,ATM,ATM Booth,Failed
T626194,2025-05-01,18:39,MUM03,Mumbai,4176,Grace,A71784189,Current,Offline,NetBanking,Kiosk,Failed
T807257,2025-05-01,13:30,MUM03,Mumbai,7922,John,A84357702,Current,Offline,NEFT,ATM Booth,Success
T381192,2025-05-01,11:53,MUM03,Mumbai,2964,Ivy,A96404014,Current,Offline,NEFT,Branch,Success
T819009,2025-05-01,19:33,MUM03,Mumbai,6379,Helen,A14323129,Savings,Offline,NetBanking,Kiosk,Success
T100518,2025-05-01,18:19,MUM03,Mumbai,4428,Eva,A96586341,Current,Offline,ATM,Kiosk,Success
T752826,2025-05-01,00:37,MUM03,Mumbai,1833,Grace,A39581221,Savings,Online,NetBanking,ATM Booth,Success
T771504,2025-05-01,13:25,MUM03,Mumbai,7613,Charlie,A68163534,Current,Offline,IMPS,Branch,Success
T971205,2025-05-01,19:51,MUM03,Mumbai,5201,Eva,A15047340,Savings,Offline,UPI,Branch,Failed
T632662,2025-05-01,05:55,MUM03,Mumbai,8479,Eva,A94607363,Current,Offline,ATM,Branch,Failed
T775809,2025-05-01,05:29,MUM03,Mumbai,9549,Frank,A22811782,Savings,Offline,UPI,OnlinePortal,Success
T152903,2025-05-02,05:36,MUM03,Mumbai,2908,John,A61157105,Current,Online,NetBanking,ATM Booth,Failed
T853500,2025-05-02,20:46,MUM03,Mumbai,2613,Alice,A82371766,Current,Online,NEFT,MobileApp,Success
T172974,2025-05-02,06:49,MUM03,Mumbai,9933,Frank,A99027945,Current,Online,NetBanking,ATM Booth,Success
T815809,2025-05-02,18:07,MUM03,Mumbai,2413,Ivy,A33288044,Savings,Offline,NEFT,ATM Booth,Success
T522733,2025-05-02,20:27,MUM03,Mumbai,6107,Grace,A53447593,Current,Offline,ATM,ATM Booth,Failed
T479015,2025-05-02,06:22,MUM03,Mumbai,1253,Eva,A13053299,Current,Offline,ATM,ATM Booth,Failed
T488225,2025-05-02,10:21,MUM03,Mumbai,7672,Ivy,A50353451,Current,Online,UPI,MobileApp,Success
T339469,2025-05-02,22:11,MUM03,Mumbai,9276,Frank,A19376970,Savings,Offline,NetBanking,OnlinePortal,Failed
T180293,2025-05-02,18:37,MUM03,Mumbai,7099,Charlie,A21649020,Savings,Online,IMPS,Kiosk,Success
T776898,2025-05-02,17:20,MUM03,Mumbai,6907,Ivy,A40559092,Savings,Offline,IMPS,Kiosk,Failed
T181477,2025-05-03,12:31,MUM03,Mumbai,8929,Eva,A96042497,Savings,Online,NEFT,MobileApp,Failed
T724524,2025-05-03,01:51,MUM03,Mumbai,4031,Alice,A96408713,Savings,Online,IMPS,Branch,Failed
T290700,2025-05-03,17:34,MUM03,Mumbai,3356,John,A89855218,Current,Offline,NetBanking,Kiosk,Failed
T567268,2025-05-03,20:39,MUM03,Mumbai,4763,Ivy,A11203990,Current,Online,UPI,ATM Booth,Success
T204057,2025-05-03,02:35,MUM03,Mumbai,3523,Helen,A49607395,Savings,Online,NetBanking,Kiosk,Failed
T300632,2025-05-03,13:09,MUM03,Mumbai,5756,Charlie,A45972644,Current,Online,UPI,OnlinePortal,Failed
T491863,2025-05-03,02:53,MUM03,Mumbai,4017,John,A56580248,Savings,Online,NEFT,ATM Booth,Success
T949892,2025-05-03,07:35,MUM03,Mumbai,4434,Alice,A97807558,Savings,Offline,NEFT,Branch,Success
